2026-03-12 20:56:51 | INFO | 开始执行 action=clean-deduplicate input=data/input.xlsx output=data/input_deduplicated.xlsx mode=exact
2026-03-12 21:07:08 | INFO | 语义模型路径：models/m3e-base
2026-03-12 21:07:08 | INFO | 语义命中明细：data/input_deduplicated_matches.csv
2026-03-12 21:07:08 | INFO | 去重前总行数：990
2026-03-12 21:07:08 | INFO | 删除重复行数：204
2026-03-12 21:07:08 | INFO | 语义代表值数量：786
2026-03-12 21:07:08 | INFO | 去重后总行数：786
2026-03-12 21:39:59 | INFO | 开始执行 action=clean-deduplicate input=data/input.xlsx output=data/input_deduplicated.xlsx mode=semantic
2026-03-12 21:39:59 | INFO | 开始阶段：读取文件
2026-03-12 21:39:59 | INFO | 完成阶段：读取文件
2026-03-12 21:39:59 | INFO | 开始阶段：清洗数据
2026-03-12 21:39:59 | INFO | 完成阶段：清洗数据
2026-03-12 21:39:59 | INFO | 开始阶段：执行去重
2026-03-12 21:40:01 | INFO | 完成阶段：执行去重
2026-03-12 21:40:01 | INFO | 开始阶段：写出结果
2026-03-12 21:40:01 | INFO | 完成阶段：写出结果
2026-03-12 21:40:01 | INFO | 清洗完成，输出文件：data/input_deduplicated.xlsx
2026-03-12 21:40:01 | INFO | 清洗前总行数：1000
2026-03-12 21:40:01 | INFO | 删除空行：10
2026-03-12 21:40:01 | INFO | 删除全符号/标点行：0
2026-03-12 21:40:01 | INFO | 删除全表情行：0
2026-03-12 21:40:01 | INFO | 删除全乱码行：0
2026-03-12 21:40:01 | INFO | 共删除：10
2026-03-12 21:40:01 | INFO | 清洗后总行数：990
2026-03-12 21:40:01 | INFO | 去重完成，输出文件：data/input_deduplicated.xlsx
2026-03-12 21:40:01 | INFO | 去重模式：semantic
2026-03-12 21:40:01 | INFO | 使用目标列：text
2026-03-12 21:40:01 | INFO | 语义阈值：0.9
2026-03-12 21:40:01 | INFO | 语义模型路径：models/m3e-base
2026-03-12 21:40:01 | INFO | 语义命中明细：data/input_deduplicated_matches.csv
2026-03-12 21:40:01 | INFO | 去重前总行数：990
2026-03-12 21:40:01 | INFO | 删除重复行数：204
2026-03-12 21:40:01 | INFO | 语义代表值数量：786
2026-03-12 21:40:01 | INFO | 去重后总行数：786
2026-03-12 22:12:24 | INFO | 开始执行 action=clean-deduplicate input=data/input.xlsx output=data/input_deduplicated.xlsx mode=semantic
2026-03-12 22:12:24 | INFO | 开始阶段：读取文件
2026-03-12 22:12:24 | INFO | 完成阶段：读取文件
2026-03-12 22:12:24 | INFO | 开始阶段：清洗数据
2026-03-12 22:12:24 | INFO | 完成阶段：清洗数据
2026-03-12 22:12:24 | INFO | 开始阶段：执行去重
2026-03-12 22:12:27 | INFO | 完成阶段：执行去重
2026-03-12 22:12:27 | INFO | 开始阶段：写出结果
2026-03-12 22:12:27 | INFO | 完成阶段：写出结果
2026-03-12 22:12:27 | INFO | 清洗完成，输出文件：data/input_deduplicated.xlsx
2026-03-12 22:12:27 | INFO | 清洗前总行数：1000
2026-03-12 22:12:27 | INFO | 删除空行：10
2026-03-12 22:12:27 | INFO | 删除全符号/标点行：0
2026-03-12 22:12:27 | INFO | 删除全表情行：0
2026-03-12 22:12:27 | INFO | 删除全乱码行：0
2026-03-12 22:12:27 | INFO | 共删除：10
2026-03-12 22:12:27 | INFO | 清洗后总行数：990
2026-03-12 22:12:27 | INFO | 去重完成，输出文件：data/input_deduplicated.xlsx
2026-03-12 22:12:27 | INFO | 去重模式：semantic
2026-03-12 22:12:27 | INFO | 使用目标列：text
2026-03-12 22:12:27 | INFO | 语义阈值：0.9
2026-03-12 22:12:27 | INFO | 语义模型路径：models/m3e-base
2026-03-12 22:12:27 | INFO | 语义命中明细：data/input_deduplicated_matches.csv
2026-03-12 22:12:27 | INFO | 去重前总行数：990
2026-03-12 22:12:27 | INFO | 删除重复行数：204
2026-03-12 22:12:27 | INFO | 语义代表值数量：786
2026-03-12 22:12:27 | INFO | 去重后总行数：786
2026-03-19 17:17:02 | INFO | 开始执行 action=deduplicate input=/Users/dereck/Code/pingan/data-process/data/input.xlsx output=/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx mode=semantic
2026-03-19 17:17:02 | INFO | 开始阶段：读取文件
2026-03-19 17:17:02 | INFO | 完成阶段：读取文件
2026-03-19 17:17:02 | INFO | 开始阶段：执行去重
2026-03-19 17:17:08 | INFO | 完成阶段：执行去重
2026-03-19 17:17:08 | INFO | 开始阶段：写出结果
2026-03-19 17:17:08 | INFO | 完成阶段：写出结果
2026-03-19 17:17:08 | INFO | 去重完成，输出文件：/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx
2026-03-19 17:17:08 | INFO | 去重模式：semantic
2026-03-19 17:17:08 | INFO | 使用目标列：text
2026-03-19 17:17:08 | INFO | 语义阈值：0.9
2026-03-19 17:17:08 | INFO | 语义模型路径：models/m3e-base
2026-03-19 17:17:08 | INFO | 语义命中明细：/Users/dereck/Code/pingan/data-process/data/input_deduplicated_matches.csv
2026-03-19 17:17:08 | INFO | 去重前总行数：1000
2026-03-19 17:17:08 | INFO | 删除重复行数：213
2026-03-19 17:17:08 | INFO | 语义代表值数量：787
2026-03-19 17:17:08 | INFO | 去重后总行数：787
2026-03-19 17:21:30 | INFO | 开始执行 action=deduplicate input=/Users/dereck/Code/pingan/data-process/data/input.xlsx output=/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx mode=semantic
2026-03-19 17:21:30 | INFO | 开始阶段：读取文件
2026-03-19 17:21:30 | INFO | 完成阶段：读取文件
2026-03-19 17:21:30 | INFO | 开始阶段：执行去重
2026-03-19 17:21:34 | INFO | 完成阶段：执行去重
2026-03-19 17:21:34 | INFO | 开始阶段：写出结果
2026-03-19 17:21:34 | INFO | 完成阶段：写出结果
2026-03-19 17:21:34 | INFO | 去重完成，输出文件：/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx
2026-03-19 17:21:34 | INFO | 去重模式：semantic
2026-03-19 17:21:34 | INFO | 使用目标列：text
2026-03-19 17:21:34 | INFO | 语义阈值：0.9
2026-03-19 17:21:34 | INFO | 语义模型路径：models/m3e-base
2026-03-19 17:21:34 | INFO | 语义命中明细：/Users/dereck/Code/pingan/data-process/data/input_deduplicated_matches.csv
2026-03-19 17:21:34 | INFO | 去重前总行数：1000
2026-03-19 17:21:34 | INFO | 删除重复行数：213
2026-03-19 17:21:34 | INFO | 语义代表值数量：787
2026-03-19 17:21:34 | INFO | 去重后总行数：787
2026-03-19 17:42:02 | INFO | 开始执行 action=clean-deduplicate input=/Users/dereck/Code/pingan/data-process/data/input.xlsx output=/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx mode=semantic
2026-03-19 17:42:02 | INFO | 开始阶段：读取文件
2026-03-19 17:42:02 | INFO | 完成阶段：读取文件
2026-03-19 17:42:02 | INFO | 开始阶段：清洗数据
2026-03-19 17:42:02 | INFO | 完成阶段：清洗数据
2026-03-19 17:42:02 | INFO | 开始阶段：执行去重
2026-03-19 17:42:06 | INFO | 完成阶段：执行去重
2026-03-19 17:42:06 | INFO | 开始阶段：写出结果
2026-03-19 17:42:06 | INFO | 完成阶段：写出结果
2026-03-19 17:42:06 | INFO | 清洗完成，输出文件：/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx
2026-03-19 17:42:06 | INFO | 清洗前总行数：1000
2026-03-19 17:42:06 | INFO | 删除空行：10
2026-03-19 17:42:06 | INFO | 删除全符号/标点行：0
2026-03-19 17:42:06 | INFO | 删除全表情行：0
2026-03-19 17:42:06 | INFO | 删除全乱码行：0
2026-03-19 17:42:06 | INFO | 共删除：10
2026-03-19 17:42:06 | INFO | 清洗后总行数：990
2026-03-19 17:42:06 | INFO | 去重完成，输出文件：/Users/dereck/Code/pingan/data-process/data/input_deduplicated.xlsx
2026-03-19 17:42:06 | INFO | 去重模式：semantic
2026-03-19 17:42:06 | INFO | 使用目标列：text
2026-03-19 17:42:06 | INFO | 语义阈值：0.9
2026-03-19 17:42:06 | INFO | 语义模型路径：models/m3e-base
2026-03-19 17:42:06 | INFO | 语义命中明细：/Users/dereck/Code/pingan/data-process/data/input_deduplicated_matches.csv
2026-03-19 17:42:06 | INFO | 去重前总行数：990
2026-03-19 17:42:06 | INFO | 删除重复行数：204
2026-03-19 17:42:06 | INFO | 语义代表值数量：786
2026-03-19 17:42:06 | INFO | 去重后总行数：786
2026-03-19 18:57:41 | INFO | 开始执行 action=clean-deduplicate input=/Users/dereck/Code/pingan/data-process/data/repro_17541.xlsx output=/Users/dereck/Code/pingan/data-process/data/repro_17541_deduplicated.xlsx mode=semantic
2026-03-19 18:57:41 | INFO | 开始阶段：读取文件
2026-03-19 18:57:41 | INFO | 完成阶段：读取文件
2026-03-19 18:57:41 | ERROR | 未检测到支持的输入文件，请提供 csv 或 Excel 文件（.csv/.xls/.xlsx/.xlsm）。
2026-03-19 18:58:07 | INFO | 开始执行 action=clean-deduplicate input=/Users/dereck/Code/pingan/data-process/data/repro_17541.xlsx output=/Users/dereck/Code/pingan/data-process/data/repro_17541_deduplicated.xlsx mode=semantic
2026-03-19 18:58:07 | INFO | 开始阶段：读取文件
2026-03-19 18:58:07 | INFO | 完成阶段：读取文件
2026-03-19 18:58:08 | INFO | 开始阶段：清洗数据
2026-03-19 18:58:08 | INFO | 完成阶段：清洗数据
2026-03-19 18:58:08 | INFO | 开始阶段：执行去重
2026-03-19 18:58:46 | INFO | 完成阶段：执行去重
2026-03-19 18:58:46 | INFO | 开始阶段：写出结果
2026-03-19 18:58:46 | INFO | 完成阶段：写出结果
2026-03-19 18:58:46 | INFO | 清洗完成，输出文件：/Users/dereck/Code/pingan/data-process/data/repro_17541_deduplicated.xlsx
2026-03-19 18:58:46 | INFO | 清洗前总行数：17541
2026-03-19 18:58:46 | INFO | 删除空行：174
2026-03-19 18:58:46 | INFO | 删除全符号/标点行：0
2026-03-19 18:58:46 | INFO | 删除全表情行：0
2026-03-19 18:58:46 | INFO | 删除全乱码行：0
2026-03-19 18:58:46 | INFO | 共删除：174
2026-03-19 18:58:46 | INFO | 清洗后总行数：17367
2026-03-19 18:58:46 | INFO | 去重完成，输出文件：/Users/dereck/Code/pingan/data-process/data/repro_17541_deduplicated.xlsx
2026-03-19 18:58:46 | INFO | 去重模式：semantic
2026-03-19 18:58:46 | INFO | 使用目标列：text
2026-03-19 18:58:46 | INFO | 语义阈值：0.9
2026-03-19 18:58:46 | INFO | 语义模型路径：models/m3e-base
2026-03-19 18:58:46 | INFO | 语义命中明细：/Users/dereck/Code/pingan/data-process/data/repro_17541_deduplicated_matches.csv
2026-03-19 18:58:46 | INFO | 去重前总行数：17367
2026-03-19 18:58:46 | INFO | 删除重复行数：16581
2026-03-19 18:58:46 | INFO | 语义代表值数量：786
2026-03-19 18:58:46 | INFO | 去重后总行数：786
